# Lane B peak/lifetime trace (HEAD 013f1f7). peak_qubits=1302 at phase=dialog_gcd_compressed_block_tobitvector_shift ops_idx=1096242 total_ops=9777634
# distinct phases reaching 1302q: dialog_gcd_compressed_block_tobitvector_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_compress_block(2 sites), dialog_gcd_compressed_block_tobitvector_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_add(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_shift(6 sites), dialog_gcd_compressed_block_tobitvector_subtract(4 sites), dialog_gcd_raw_tobitvector_materialized_add_body(4 sites), dialog_gcd_raw_tobitvector_materialized_add_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_add_load(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_body(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_load(4 sites)
# rows below: per-region active-qubit maxima within 7 of peak (source: TRACE_PHASE_ACTIVE_REGIONS)
ops_idx	active_q	phase	level
2798099	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2807344	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2816555	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2825800	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2835011	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2844256	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2853467	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2862712	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2871923	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2881168	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2890379	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2899624	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2908835	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2918080	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2927291	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2936536	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2945747	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2954992	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2964203	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2973448	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2982659	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
2991904	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3001115	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
3010360	1297	dialog_gcd_apply_chunk_sub_final_ripple	near
